epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6094,1.63345,2.4991,1.13178,0.97468,0.85062,0.9481,0.47598,1.64412,2.13512,1.26145,0.000661939,0.000661939,0.000661939
2,53.381,1.56932,1.3943,1.1899,0.97645,0.90041,0.94911,0.50734,1.49714,0.90164,1.243,0.00131545,0.00131545,0.00131545
3,71.4866,1.56019,1.0282,1.19305,0.94864,0.88382,0.91109,0.50194,1.53665,0.86247,1.26729,0.00195577,0.00195577,0.00195577
4,89.4986,1.52152,0.85824,1.18217,0.97607,0.92116,0.96695,0.50736,1.53723,0.74308,1.2555,0.0019406,0.0019406,0.0019406
5,107.464,1.50328,0.77987,1.17189,0.96012,0.85062,0.90441,0.50656,1.55194,0.78025,1.30514,0.0019208,0.0019208,0.0019208
6,125.359,1.47962,0.75316,1.15715,0.97207,0.86658,0.95355,0.49663,1.60433,0.77909,1.2696,0.001901,0.001901,0.001901
7,143.451,1.45434,0.71658,1.1393,0.9778,0.93776,0.97059,0.55966,1.40792,0.66283,1.18557,0.0018812,0.0018812,0.0018812
8,161.278,1.46844,0.69756,1.14501,0.99133,0.94934,0.97598,0.58174,1.40627,0.61309,1.19164,0.0018614,0.0018614,0.0018614
9,179.261,1.45962,0.69969,1.14097,0.99363,0.92531,0.97295,0.59176,1.38504,0.61414,1.17342,0.0018416,0.0018416,0.0018416
10,197.16,1.44694,0.68381,1.14757,0.9762,0.94191,0.97395,0.60515,1.34705,0.62277,1.16296,0.0018218,0.0018218,0.0018218
11,215.16,1.42642,0.66969,1.12691,0.99478,0.96266,0.9842,0.60728,1.34604,0.58573,1.14913,0.001802,0.001802,0.001802
12,233.275,1.42909,0.67708,1.14173,0.99905,0.97095,0.98267,0.61172,1.38325,0.59697,1.17363,0.0017822,0.0017822,0.0017822
13,251.311,1.41846,0.65345,1.12374,0.99837,0.96266,0.98151,0.59858,1.34157,0.57295,1.1503,0.0017624,0.0017624,0.0017624
14,269.08,1.39072,0.64205,1.12341,1,0.96207,0.9834,0.61945,1.33763,0.57419,1.15549,0.0017426,0.0017426,0.0017426
15,286.986,1.40211,0.63734,1.13322,0.98919,0.95436,0.9864,0.62874,1.34589,0.56954,1.1614,0.0017228,0.0017228,0.0017228
16,304.857,1.37446,0.62274,1.11024,0.99476,0.97095,0.98559,0.59611,1.40325,0.56417,1.19853,0.001703,0.001703,0.001703
17,322.716,1.36894,0.6267,1.10805,0.99511,0.96266,0.98214,0.62027,1.36968,0.57059,1.15734,0.0016832,0.0016832,0.0016832
18,341.378,1.36984,0.61298,1.10494,0.97615,0.94606,0.97716,0.59051,1.47572,0.60642,1.20857,0.0016634,0.0016634,0.0016634
19,359.457,1.36756,0.6128,1.09914,0.999,0.97095,0.98743,0.63381,1.31016,0.54454,1.13859,0.0016436,0.0016436,0.0016436
20,377.966,1.35118,0.59958,1.10468,0.99138,0.95491,0.97968,0.61917,1.31674,0.54534,1.14653,0.0016238,0.0016238,0.0016238
