               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084035,             0.02067,                   0,             0.30397,             0.34974,              0.2551,            0.059711,            0.061835,            0.011539,                   0,            0.070213,           0.0033097,           0.0033097
                   1,            0.056734,            0.014075,                   0,             0.39673,             0.74689,             0.39147,             0.12699,            0.055579,           0.0077956,                   0,            0.040147,           0.0065773,           0.0065773
                   2,            0.053455,             0.01048,                   0,             0.83077,             0.85556,             0.89744,             0.39902,            0.045368,           0.0067002,                   0,            0.010015,           0.0097788,           0.0097788
                   3,            0.048253,           0.0084365,                   0,              0.9303,             0.88616,             0.91171,             0.35778,            0.043712,           0.0054989,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.043322,           0.0075532,                   0,             0.98675,             0.92737,             0.96787,             0.51725,            0.038624,           0.0047385,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.040458,           0.0068006,                   0,             0.98742,             0.97668,             0.97954,             0.51914,            0.035199,           0.0045227,                   0,            0.009604,            0.009604,            0.009604
                   6,              0.0383,           0.0063914,                   0,                   1,             0.92492,             0.95329,              0.4577,            0.038144,           0.0046256,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.036256,           0.0060577,                   0,             0.98757,             0.95436,             0.97509,             0.55981,            0.033117,           0.0042367,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.035724,           0.0059638,                   0,             0.96658,             0.96022,             0.97149,             0.51316,            0.034774,            0.004202,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034262,           0.0057547,                   0,             0.99546,             0.97095,               0.984,             0.57237,            0.030559,           0.0040356,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033737,           0.0055077,                   0,             0.99569,             0.97925,             0.97906,              0.5307,            0.032138,           0.0039824,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.032257,           0.0055479,                   0,             0.99102,             0.97925,             0.98509,             0.60526,             0.02883,           0.0037334,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03168,           0.0053485,                   0,             0.99163,             0.98274,             0.98559,             0.57394,            0.030711,           0.0037392,                   0,            0.008911,            0.008911,            0.008911
                   0,            0.082616,            0.020329,                   0,              0.8088,             0.56168,             0.67992,             0.22371,            0.051648,            0.010393,                   0,            0.070107,           0.0033215,           0.0033215
                   1,             0.05608,            0.012933,                   0,              0.9633,             0.82988,             0.89973,             0.37723,            0.044243,           0.0084447,                   0,            0.040041,           0.0065889,           0.0065889
                   2,            0.052067,            0.010348,                   0,             0.95784,             0.89212,             0.92631,               0.405,            0.041171,           0.0064337,                   0,            0.009909,           0.0097904,           0.0097904
                   3,            0.047517,           0.0084023,                   0,             0.94203,             0.94393,             0.96004,             0.42677,            0.036461,           0.0053703,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.043202,           0.0072763,                   0,             0.99346,             0.95021,             0.98006,             0.51785,            0.034099,           0.0048788,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.039732,           0.0066426,                   0,             0.97701,             0.95436,             0.98073,             0.52387,             0.03256,           0.0044997,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.038413,           0.0062516,                   0,                   1,             0.96984,             0.98472,             0.55385,            0.031351,           0.0041726,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.03671,           0.0060235,                   0,             0.99142,              0.9585,             0.98348,             0.56233,            0.030767,           0.0041622,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.034779,           0.0060168,                   0,              0.9951,             0.97095,             0.98392,              0.5707,            0.030064,           0.0038556,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034513,           0.0057354,                   0,             0.99552,              0.9751,             0.98433,             0.57068,            0.030187,           0.0039901,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.03335,           0.0055865,                   0,             0.99578,               0.979,             0.98568,             0.59856,            0.027885,            0.003886,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033035,           0.0054566,                   0,             0.99521,             0.97925,             0.97987,             0.57898,            0.028749,           0.0037822,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032102,           0.0055848,                   0,             0.99036,             0.97095,             0.98228,             0.57139,            0.028336,           0.0038222,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.031896,            0.005591,                   0,              0.9951,             0.97095,             0.98487,             0.57936,            0.028328,           0.0037271,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030948,            0.005363,                   0,             0.99881,              0.9751,             0.98194,             0.58102,            0.029212,           0.0037379,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030163,           0.0053285,                   0,             0.99967,              0.9751,             0.97941,             0.58843,            0.027593,           0.0036677,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03109,           0.0051933,                   0,             0.99878,              0.9751,             0.98525,             0.58972,            0.029023,           0.0037581,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030181,           0.0050853,                   0,             0.99954,             0.97925,             0.98414,             0.61789,            0.026551,           0.0036314,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029897,           0.0051723,                   0,                   1,             0.98252,              0.9863,             0.61376,            0.026391,           0.0036155,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02993,           0.0050581,                   0,               0.995,              0.9834,             0.98597,             0.61394,            0.026958,           0.0035892,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029205,            0.005058,                   0,             0.99507,             0.97925,             0.98588,             0.60833,            0.027472,           0.0036164,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029002,           0.0050127,                   0,             0.99871,             0.97925,             0.98536,             0.59822,             0.02796,            0.003661,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029035,           0.0049188,                   0,             0.99955,              0.9834,             0.98605,             0.61803,            0.026173,            0.003534,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028854,           0.0050442,                   0,             0.99542,             0.97925,             0.98535,             0.60137,            0.027195,           0.0036149,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028555,           0.0049378,                   0,             0.99163,             0.98271,             0.98591,              0.6128,            0.026094,           0.0035325,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.028333,           0.0049792,                   0,              0.9988,             0.97925,             0.98595,             0.61588,            0.026848,           0.0035382,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02857,           0.0048753,                   0,                   1,             0.98286,             0.98619,             0.61175,            0.026732,           0.0035871,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.028023,           0.0050073,                   0,             0.99155,             0.97384,             0.98531,             0.62572,            0.026148,           0.0036767,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.028105,           0.0047849,                   0,             0.99868,              0.9751,             0.98579,             0.62875,            0.026077,           0.0035576,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028076,           0.0048568,                   0,             0.99548,              0.9834,             0.98612,             0.61814,            0.026454,           0.0035449,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027521,           0.0048824,                   0,             0.99949,             0.98755,              0.9863,              0.6245,            0.026114,            0.003475,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.027404,           0.0049023,                   0,              0.9999,             0.98755,             0.98615,             0.62685,            0.026132,           0.0035733,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.027261,           0.0047681,                   0,             0.99942,             0.97925,             0.98608,              0.6203,            0.027148,           0.0035453,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027277,           0.0048381,                   0,             0.99868,             0.97925,             0.98519,             0.61815,            0.025834,           0.0036037,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.026649,           0.0048384,                   0,             0.99558,              0.9341,             0.96776,             0.58325,            0.028346,           0.0038856,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.027062,           0.0048093,                   0,             0.99924,              0.9834,             0.98563,             0.62743,            0.025493,           0.0035667,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027087,           0.0049842,                   0,             0.99579,             0.98178,             0.98567,             0.62897,            0.025798,           0.0035017,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.026899,           0.0047388,                   0,             0.99982,             0.98755,             0.98592,             0.62699,            0.025499,           0.0034366,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.026027,           0.0046975,                   0,             0.99962,             0.98755,             0.98636,             0.62724,            0.025645,           0.0034521,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026562,           0.0048631,                   0,             0.99905,             0.98755,             0.98645,             0.63885,            0.025058,           0.0035095,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025806,           0.0048535,                   0,                   1,             0.98753,             0.98665,             0.63538,            0.025338,           0.0034963,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026542,           0.0047657,                   0,                   1,             0.98721,             0.98611,             0.62719,            0.025696,           0.0034807,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026085,           0.0046848,                   0,             0.99082,             0.98755,             0.98574,             0.62388,            0.025344,           0.0035037,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026018,           0.0046341,                   0,                   1,             0.98645,             0.98621,             0.63198,             0.02577,           0.0034973,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026302,           0.0046519,                   0,             0.99987,             0.98755,             0.98652,             0.63805,            0.025587,            0.003453,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025929,           0.0047841,                   0,             0.99532,              0.9834,             0.98638,             0.62977,            0.025938,           0.0034947,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02563,           0.0046986,                   0,             0.99958,             0.98755,             0.98663,              0.6451,            0.025261,           0.0034572,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025778,           0.0046664,                   0,             0.99968,             0.98755,             0.98667,              0.6286,            0.025452,           0.0034106,                   0,            0.005446,            0.005446,            0.005446
